Feature,Chi2,ANOVA,MutualInfo,Variance,RFE_Rank,SFS,RandomForest,Permutation,LASSO,ElasticNet,Ridge,LogReg,DecisionTree,Algorithms_Ranked
meanF0Hz,0.0025765202932354933,0.005415571225407202,0.004739149802323376,0.5,0.010804332312516627,0.0,0.027467572012998435,0.0,0.5088508840827274,0.4988228713938391,0.5036643494555032,0.6656343035085094,0.022331649875496972,"['LogReg', 'LASSO', 'Ridge', 'Variance', 'ElasticNet', 'RandomForest', 'DecisionTree', 'RFE_Rank', 'ANOVA', 'MutualInfo', 'Chi2', 'SFS', 'Permutation']"
maxF0Hz,0.2411834123997623,0.21686060954111722,0.22241400135820402,0.5,0.006224718232972103,0.0,0.047931189862143675,0.0,0.14854031983803423,0.17386460019821628,0.21034738070863915,0.25294795344394727,0.0,"['Variance', 'LogReg', 'Chi2', 'MutualInfo', 'ANOVA', 'Ridge', 'ElasticNet', 'LASSO', 'RandomForest', 'RFE_Rank', 'SFS', 'Permutation', 'DecisionTree']"
minF0Hz,0.0005267175813583502,0.0026211975344469225,0.2343741393365028,1.0,0.002818630234374965,0.0,0.0315156434238671,0.0,0.17619123749232274,0.21577076741352824,0.23546808965150592,0.1999335456444967,0.010599177445444443,"['Variance', 'Ridge', 'MutualInfo', 'ElasticNet', 'LogReg', 'LASSO', 'RandomForest', 'DecisionTree', 'RFE_Rank', 'ANOVA', 'Chi2', 'SFS', 'Permutation']"
stdF0Hz,0.21372204168505163,0.16511883777777597,0.18656063674406276,0.5,0.005974270586799081,0.0,0.021668539860452838,0.0,0.08632029929466076,0.08719698943533466,0.11801440109264867,0.1734688492310381,0.020654807329584027,"['Variance', 'Chi2', 'MutualInfo', 'LogReg', 'ANOVA', 'Ridge', 'ElasticNet', 'LASSO', 'RandomForest', 'DecisionTree', 'RFE_Rank', 'SFS', 'Permutation']"
jitter_local,0.019369526439172658,0.010712362771089057,0.05363431435699066,0.25,0.004830922635300639,0.0,0.04463849107417555,0.0,0.0,0.03670413787443062,0.10125032309113054,0.08979900827127138,0.05947554631330365,"['Variance', 'Ridge', 'LogReg', 'DecisionTree', 'MutualInfo', 'RandomForest', 'ElasticNet', 'Chi2', 'ANOVA', 'RFE_Rank', 'SFS', 'Permutation', 'LASSO']"
jitter_abs,0.0027352989818694427,0.0028711949059216017,0.0,0.5,0.004621853295318063,0.0,0.042209604041448266,0.0,0.0,0.0,0.0721640803530367,0.10458474474451007,0.0,"['Variance', 'LogReg', 'Ridge', 'RandomForest', 'RFE_Rank', 'ANOVA', 'Chi2', 'MutualInfo', 'SFS', 'Permutation', 'LASSO', 'ElasticNet', 'DecisionTree']"
jitter_rap,0.033392589512616914,0.015876948096341766,0.14132328629624946,1.0,0.013679903922628774,0.0,0.052602952305726834,0.0,0.0,0.00624593791174825,0.058370294439682585,0.05460953965029203,0.0,"['Variance', 'MutualInfo', 'Ridge', 'LogReg', 'RandomForest', 'Chi2', 'ANOVA', 'RFE_Rank', 'ElasticNet', 'SFS', 'Permutation', 'LASSO', 'DecisionTree']"
jitter_ddp,0.03339258951261687,0.015876948096341825,0.14132328629624946,0.25,0.0008255942121557679,0.0,0.02933520513753561,0.0,0.0,0.0062459379117536275,0.05837029443967808,0.0546095396502904,0.0,"['Variance', 'MutualInfo', 'Ridge', 'LogReg', 'Chi2', 'RandomForest', 'ANOVA', 'ElasticNet', 'RFE_Rank', 'SFS', 'Permutation', 'LASSO', 'DecisionTree']"
jitter_ppq5,0.12529543324013528,0.04374162691069843,0.013273733745081765,0.25,0.009615394045857808,0.0,0.040659320360550824,0.0,0.0,0.0,0.09928607466735384,0.11948731977038524,0.0,"['Variance', 'Chi2', 'LogReg', 'Ridge', 'ANOVA', 'RandomForest', 'MutualInfo', 'RFE_Rank', 'SFS', 'Permutation', 'LASSO', 'ElasticNet', 'DecisionTree']"
shimmer_local,0.1018536102465814,0.057080907104559,0.22739089938424575,0.5,0.007311406323402552,0.0,0.020282431060844666,0.0,0.23063863947230684,0.293454731221064,0.3153326533451203,0.34504731944711525,0.0,"['Variance', 'LogReg', 'Ridge', 'ElasticNet', 'LASSO', 'MutualInfo', 'Chi2', 'ANOVA', 'RandomForest', 'RFE_Rank', 'SFS', 'Permutation', 'DecisionTree']"
