Root Feature,Train Accuracy,Test Accuracy
meanF0Hz,0.9985693848354793,0.9257142857142857
maxF0Hz,0.9985693848354793,0.9257142857142857
minF0Hz,0.9985693848354793,0.9142857142857143
stdF0Hz,0.9985693848354793,0.92
jitter_local,0.9985693848354793,0.9257142857142857
jitter_abs,0.9985693848354793,0.92
jitter_rap,0.9985693848354793,0.9085714285714286
jitter_ddp,0.9985693848354793,0.9085714285714286
jitter_ppq5,0.9985693848354793,0.9257142857142857
shimmer_local,0.9985693848354793,0.92
shimmer_db,1.0,0.9257142857142857
shimmer_apq3,1.0,0.9142857142857143
shimmer_apq5,1.0,0.9314285714285714
shimmer_dda,1.0,0.9028571428571428
hnr,0.9985693848354793,0.9085714285714286
mfcc0,0.9985693848354793,0.9371428571428572
mfcc1,0.9985693848354793,0.9314285714285714
mfcc2,0.9985693848354793,0.9371428571428572
mfcc3,1.0,0.92
mfcc4,0.9985693848354793,0.9142857142857143
mfcc5,1.0,0.9142857142857143
mfcc6,0.9985693848354793,0.92
mfcc7,0.9971387696709585,0.9314285714285714
mfcc8,1.0,0.92
mfcc9,1.0,0.9142857142857143
mfcc10,1.0,0.9257142857142857
mfcc11,1.0,0.9257142857142857
mel_mean0,1.0,0.92
mel_mean1,1.0,0.9257142857142857
mel_mean2,1.0,0.9314285714285714
mel_mean3,1.0,0.9257142857142857
mel_mean4,1.0,0.9314285714285714
mel_mean5,1.0,0.9314285714285714
mel_mean6,1.0,0.9257142857142857
mel_mean7,1.0,0.9314285714285714
mel_mean8,1.0,0.9257142857142857
mel_mean9,1.0,0.9257142857142857
mel_mean10,1.0,0.9314285714285714
mel_mean11,1.0,0.9257142857142857
mel_mean12,1.0,0.9257142857142857
mel_mean13,1.0,0.9371428571428572
mel_mean14,1.0,0.9371428571428572
mel_mean15,1.0,0.9314285714285714
mel_mean16,1.0,0.9314285714285714
mel_mean17,1.0,0.9314285714285714
mel_mean18,1.0,0.9314285714285714
mel_mean19,1.0,0.9314285714285714
mel_mean20,1.0,0.9314285714285714
mel_mean21,1.0,0.9314285714285714
mel_mean22,1.0,0.9371428571428572
mel_mean23,1.0,0.9371428571428572
mel_mean24,1.0,0.9314285714285714
mel_mean25,1.0,0.9371428571428572
mel_mean26,1.0,0.9314285714285714
mel_mean27,0.9985693848354793,0.9314285714285714
mel_mean28,1.0,0.9314285714285714
mel_mean29,0.9985693848354793,0.9314285714285714
mel_mean30,1.0,0.9314285714285714
mel_mean31,0.9985693848354793,0.9314285714285714
mel_mean32,1.0,0.9314285714285714
mel_mean33,1.0,0.9428571428571428
mel_mean34,1.0,0.9314285714285714
mel_mean35,1.0,0.9314285714285714
mel_mean36,1.0,0.9371428571428572
mel_mean37,1.0,0.9371428571428572
mel_mean38,1.0,0.9314285714285714
mel_mean39,1.0,0.92
mel_std0,1.0,0.9428571428571428
mel_std1,1.0,0.9371428571428572
mel_std2,1.0,0.9428571428571428
mel_std3,1.0,0.9314285714285714
mel_std4,1.0,0.9371428571428572
mel_std5,1.0,0.9257142857142857
mel_std6,1.0,0.9428571428571428
mel_std7,1.0,0.9428571428571428
mel_std8,1.0,0.9428571428571428
mel_std9,1.0,0.9314285714285714
mel_std10,1.0,0.9314285714285714
mel_std11,1.0,0.9314285714285714
mel_std12,1.0,0.9257142857142857
mel_std13,1.0,0.9314285714285714
mel_std14,1.0,0.92
mel_std15,1.0,0.9257142857142857
mel_std16,1.0,0.9371428571428572
mel_std17,1.0,0.9428571428571428
mel_std18,1.0,0.9428571428571428
mel_std19,1.0,0.9371428571428572
mel_std20,1.0,0.9314285714285714
mel_std21,1.0,0.9428571428571428
mel_std22,1.0,0.9371428571428572
mel_std23,0.9985693848354793,0.9485714285714286
mel_std24,0.9985693848354793,0.9485714285714286
mel_std25,0.9985693848354793,0.9428571428571428
mel_std26,0.9985693848354793,0.9371428571428572
mel_std27,0.9985693848354793,0.9314285714285714
mel_std28,0.9985693848354793,0.9371428571428572
mel_std29,0.9985693848354793,0.9371428571428572
mel_std30,1.0,0.9371428571428572
mel_std31,0.9985693848354793,0.9428571428571428
mel_std32,0.9985693848354793,0.9257142857142857
mel_std33,1.0,0.9314285714285714
mel_std34,1.0,0.9485714285714286
mel_std35,1.0,0.9485714285714286
mel_std36,1.0,0.9257142857142857
mel_std37,1.0,0.9428571428571428
mel_std38,0.9985693848354793,0.9428571428571428
mel_std39,1.0,0.9542857142857143
